course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
GMC 199,GMC,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,,"[GMC 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/GMC/199>)

May be repeated.",https://catalog.illinois.edu/courses-of-instruction/gmc/,2026–2027
GMC 562,GMC,562,Germanic Linguistics,4 to 8 Hours,Varying topics dealing with problems in diachronic and synchronic Germanic linguistics. May be repeated if topics vary. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,,"[GMC 562 Germanic Linguistics credit: 4 to 8 Hours.](<https://courses.illinois.edu/schedule/terms/GMC/562>)

Varying topics dealing with problems in diachronic and synchronic Germanic linguistics. May be repeated if topics vary. Prerequisite: Consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/gmc/,2026–2027
