course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ITAL 450,ITAL,450,Italian Syntax & Phonology,"3 Hours
3 undergraduate hours. 3 graduate hours.",Introduction to the essential syntactic and phonological structures of Modern Standard Italian in combination with appropriate discussion of corresponding linguistic concepts. 3 undergraduate hours. 3 graduate hours. Prerequisite: ITAL 310 or consent of instructor.,Prerequisite: ITAL 310 or consent of instructor.,,,,,
ITAL 460,ITAL,460,Principles of Language Testing,3 or 4 Hours,"Same as EIL 460, EPSY 487, FR 460, GER 460, PORT 460, and SPAN 460. See EIL 460.",,,,,,
ITAL 470,ITAL,470,Topics in Italian Cinema,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","An in-depth examination of a particular director, genre or school from the Italian cinematic tradition (e.g., Fellini, Italian horror, or noerealism); topic will very each semester. No knowledge of Italian is required. Same as MACS 470. 3 undergraduate hours. 4 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 8 graduate hours.",,,,,,
ITAL 489,ITAL,489,Theoretical Foundations of SLA,3 or 4 Hours,"Same as FR 481, GER 489, LING 489, PORT 489, and SPAN 489. See LING 489.",,,,,,
ITAL 490,ITAL,490,Italian Critical Theory,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","An advanced introduction to the critical theory of major Italian thinkers and philosophers (e.g., Gramsci, Negri, Agamben, Esposito). 3 undergraduate hours. 4 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 8 graduate hours if topic varies. Prerequisite: At least two 200-level courses in Italian, or consent of instructor.","Prerequisite: At least two 200-level courses in Italian, or consent of instructor.",,,,,
ITAL 491,ITAL,491,Honors Senior Thesis,"2 Hours
No graduate credit.",For candidates for honors in Italian. No graduate credit. May be repeated.,,No graduate credit.,,,,
ITAL 505,ITAL,505,Teaching College and Secondary Foreign Language,4 Hours,Same as FR 505. See FR 505.,,,,,,
ITAL 510,ITAL,510,Seminar in Italian Studies,4 Hours,"Graduate seminar in Italian culture, literature, linguistics, or critical theory. Topics vary. May be repeated in the same semester to a maximum of 8 hours as topics vary. May be repeated in separate semesters to a maximum of 16 hours as topics vary.",,,,,,
ITAL 530,ITAL,530,Introduction to Research and Text Criticism,4 Hours,Same as FR 530. See FR 530.,,,,,,
ITAL 559,ITAL,559,Sem Romance Ling,4 Hours,"Same as FR 559, LING 559, PORT 559, RMLG 559, and SPAN 557. See SPAN 557.",,,,,,
ITAL 580,ITAL,580,Classroom Language Acquisition,4 Hours,"Same as EIL 580, FR 580, GER 580, PORT 580, and SPAN 580. See SPAN 580.",,,,,,
ITAL 584,ITAL,584,Theories in Second Language Acquisition,4 Hours,"Same as CI 584, EALC 584, EPSY 563, FR 584, GER 584, LING 584, PORT 584, and SPAN 584. See SPAN 584.",,,,,,
ITAL 588,ITAL,588,Sem Second Lang Learn,4 Hours,"Same as EALC 588, FR 588, GER 588, LING 588, PORT 588, and SPAN 588. See SPAN 588.",,,,,,
ITAL 595,ITAL,595,Spec Topics in Italian,1 to 4 Hours,"Independent study/research under the direction of a faculty member. May or may not fulfill requirements for a particular degree program in Spanish, Italian, and Portuguese. Consult graduate advisor. May be repeated in same or subsequent terms to a maximum of 8 hours.",,,,,,
ITAL 599,ITAL,599,Thesis Research,0 to 16 Hours,Approved for S/U grading only. May be repeated in the same term or in separate terms.,,,,,,
