course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
GWS 490,GWS,490,Individual Study,"2 to 4 Hours
2 to 4 undergraduate hours. 2 to 4 graduate hours.",Supervised reading and research in Gender and Women's Studies chosen by the student with instructor approval. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated to a maximum of 6 hours. Prerequisite: Two courses in Gender and Women's Studies at the 200-400 levels; or junior standing; or consent of instructor.,Prerequisite: Two courses in Gender and Women's Studies at the 200-400 levels; or junior standing; or consent of instructor.,,,,,
GWS 494,GWS,494,Writing with Performance: Politics of Love,3 Hours,"Same as AAS 494, ENGL 494, FAA 494, THEA 484. See FAA 494.",,,,,,
GWS 495,GWS,495,Advanced Topics GWS,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",3 undergraduate hours. 4 graduate hours. Approved for letter and S/U grading. May be repeated in the same term to a maximum of 9 undergraduate hours or 12 graduate hours; may be repeated in separate terms to a maximum of 12 undergraduate or 12 graduate hours.,,,,,,
GWS 496,GWS,496,Experiments in Queer of Color Performance,3 Hours,"Same as AAS 496, ENGL 496, FAA 496, and THEA 486. See FAA 496.",,,,,,
GWS 498,GWS,498,Senior Seminar,"3 Hours
3 undergraduate hours. No graduate credit.","Considers the relationship between theory and research in Women's Studies. Reviews and examines the key issues of feminist scholarship. Provides students with the methodological knowledge and opportunity to carry out a research project. 3 undergraduate hours. No graduate credit. Prerequisite: Senior standing and enrollment as a major in Gender and Women's Studies, or consent of instructor.","Prerequisite: Senior standing and enrollment as a major in Gender and Women's Studies, or consent of instructor.",No graduate credit.,Advanced Composition,,,
GWS 501,GWS,501,Prob in Comp Women's Hist,4 Hours,Same as HIST 503. See HIST 503.,,,,,,
GWS 540,GWS,540,Intersectional Pedagogies,4 Hours,"Examines the link between political movements and pedagogies, including feminist, critical, critical multicultural, critical race, and queer pedagogies. Students will analyze pedagogical theories and implement practical techniques and strategies. Prerequisite: Graduate standing and previous coursework in Gender and Women's Studies; or consent of instructor.",Prerequisite: Graduate standing and previous coursework in Gender and Women's Studies; or consent of instructor.,,,,,
GWS 550,GWS,550,Feminist Theories & Methods,4 Hours,"Interdisciplinary study in diverse feminist theories and methods produced in and across various disciplines. Contemporary philosophical and theoretical developments in the study of gender to specific histories of class, race, ethnicity, nation and sexuality. Prerequisite: At least one graduate-level humanities course or consent of instructor.",Prerequisite: At least one graduate-level humanities course or consent of instructor.,,,,,
GWS 560,GWS,560,Feminist Media Studies,4 Hours,Same as MDIA 560. See MDIA 560.,,,,,,
GWS 561,GWS,561,Race and Cultural Critique,4 Hours,"Same as AAS 561, AFRO 531, ANTH 565, and LLS 561. See AAS 561.",,,,,,
GWS 575,GWS,575,Transnational Feminisms,4 Hours,"Study of the terms, methodologies and theoretical interventions of transnational feminist studies. Transnational is a term that calls attention to circuits of political, economic, and social phenomena across the boundaries of nation-states. Emerging as a response to the shortcomings of overarching, economic theorizations of globalization as well as Western versions of ""global feminism,"" transnational feminist studies is an interdisciplinary critical field that draws from the vocabularies of postcolonial studies, poststructuralism, Third World feminisms, race and ethnic studies feminism in self-reflexive and context-specific ways. Examines recent reconceptualizations of relations between woman and nation; gender and globalization; feminist theory and practice.",,,,,,
GWS 576,GWS,576,Children and Youth Literature,4 Hours,"Same as CWL 586, EURO 576, and SCAN 576.See SCAN 576.",,,,,,
GWS 580,GWS,580,Queer Theories & Methods,4 Hours,"Interdisciplinary study in queer theories and methods produced in and across various disciplines. Contemporary philosophical and theoretical developments in queer studies specific to histories of class, race, ethnicity, nation and sexuality. Prerequisite: Graduate standing.",Prerequisite: Graduate standing.,,,,,
GWS 581,GWS,581,Topics in Queer Studies,4 Hours,"Interdisciplinary graduate seminar on a current topic in the field of queer studies. May be repeated in separate terms to a maximum of 8 hours if topics vary. Prerequisite: Graduate standing and previous coursework in women's or gender studies, or consent of instructor. GWS 580 or previous coursework in queer studies is recommended.","Prerequisite: Graduate standing and previous coursework in women's or gender studies, or consent of instructor.",,,,,
GWS 590,GWS,590,Topics in GWS,4 Hours,"May be repeated. Prerequisite: Graduate standing and previous coursework in women's or gender studies, or consent of instructor.","Prerequisite: Graduate standing and previous coursework in women's or gender studies, or consent of instructor.",,,,,
GWS 594,GWS,594,Writing the Minor - Minoritarian Aesthetics,4 Hours,"Same as AAS 594, ENGL 594, FAA 594, and THEA 594. See FAA 594.",,,,,,
GWS 596,GWS,596,Experiments in Minoritarian Aesthetics,4 Hours,"Same as AAS 596, ENGL 596, FAA 596, and THEA 596. See FAA 596.",,,,,,
