course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
PHYS 540,PHYS,540,Astrophysics,4 Hours,"Fundamental aspect of astrophysics and cosmology and new developments in these fields. Basic physical concepts and principles, the key observational evidence, and illustrative calculations. Relativistic cosmological models, inflation, Big-Bang nucleosynthesis, and the cosmic microwave background; formation and evolution of galaxy clusters, galaxies, and stars; formation, structure, and evolution of white dwarfs, neutron stars, and black holes; rotation- and accretion-powered pulsars, X-ray and y-ray stars, and gravitational radiation. Same as ASTR 540. Prerequisite: PHYS 435; PHYS 485 or PHYS 486.",Prerequisite: PHYS 435; PHYS 485 or PHYS 486.,,,,,,"[PHYS 540 Astrophysics credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/540>)

Fundamental aspect of astrophysics and cosmology and new developments in these fields. Basic physical concepts and principles, the key observational evidence, and illustrative calculations. Relativistic cosmological models, inflation, Big-Bang nucleosynthesis, and the cosmic microwave background; formation and evolution of galaxy clusters, galaxies, and stars; formation, structure, and evolution of white dwarfs, neutron stars, and black holes; rotation- and accretion-powered pulsars, X-ray and y-ray stars, and gravitational radiation. Same as [ASTR 540](<https://catalog.illinois.edu/search/?P=ASTR%20540>). Prerequisite: [PHYS 435](<https://catalog.illinois.edu/search/?P=PHYS%20435>); [PHYS 485](<https://catalog.illinois.edu/search/?P=PHYS%20485>) or [PHYS 486](<https://catalog.illinois.edu/search/?P=PHYS%20486>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 541,PHYS,541,Physics of Compact Objects,4 Hours,"Rigorous survey of the physical properties of black holes, white dwarfs, and neutron stars. Formation of compact objects. Equilibrium configurations, equations of state, stability criteria, and mass limits: the influence of rotation and magnetic fields. Pulsar phenomena. Black hole spacetimes. Hawking radiation. Mass flow in binary systems; spherical and disk accretion; high-temperature radiation processes; pulsar spin-up. Compact x-ray sources and x-ray bursts. Supermassive black holes in star clusters and dense galactic nuclei. Gravitational and neutrino radiation from supernova collapse and binary coalescence. Same as ASTR 541. Prerequisite: PHYS 436.",Prerequisite: PHYS 436.,,,,,,"[PHYS 541 Physics of Compact Objects credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/541>)

Rigorous survey of the physical properties of black holes, white dwarfs, and neutron stars. Formation of compact objects. Equilibrium configurations, equations of state, stability criteria, and mass limits: the influence of rotation and magnetic fields. Pulsar phenomena. Black hole spacetimes. Hawking radiation. Mass flow in binary systems; spherical and disk accretion; high-temperature radiation processes; pulsar spin-up. Compact x-ray sources and x-ray bursts. Supermassive black holes in star clusters and dense galactic nuclei. Gravitational and neutrino radiation from supernova collapse and binary coalescence. Same as [ASTR 541](<https://catalog.illinois.edu/search/?P=ASTR%20541>). Prerequisite: [PHYS 436](<https://catalog.illinois.edu/search/?P=PHYS%20436>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 542,PHYS,542,Theoretical Stellar Physics,4 Hours,Same as ASTR 504. See ASTR 504.,,,,,,,"[PHYS 542 Theoretical Stellar Physics credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/542>)

Same as [ASTR 504](<https://catalog.illinois.edu/search/?P=ASTR%20504>). See [ASTR 504](<https://catalog.illinois.edu/search/?P=ASTR%20504>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 550,PHYS,550,Biomolecular Physics,4 Hours,"Physical concepts governing the structure and function of biological macromolecules; general properties, spatial structure, energy levels, dynamics and functions, and relation to other complex physical systems such as glasses; recent research in biomolecular physics; physical techniques and concepts from theoretical physics emphasized. Same as BIOP 550 and MCB 550. Prerequisite: CHEM 104; PHYS 485 or PHYS 487.",Prerequisite: CHEM 104; PHYS 485 or PHYS 487.,,,,,,"[PHYS 550 Biomolecular Physics credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/550>)

Physical concepts governing the structure and function of biological macromolecules; general properties, spatial structure, energy levels, dynamics and functions, and relation to other complex physical systems such as glasses; recent research in biomolecular physics; physical techniques and concepts from theoretical physics emphasized. Same as [BIOP 550](<https://catalog.illinois.edu/search/?P=BIOP%20550>) and [MCB 550](<https://catalog.illinois.edu/search/?P=MCB%20550>). Prerequisite: [CHEM 104](<https://catalog.illinois.edu/search/?P=CHEM%20104>); [PHYS 485](<https://catalog.illinois.edu/search/?P=PHYS%20485>) or [PHYS 487](<https://catalog.illinois.edu/search/?P=PHYS%20487>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 552,PHYS,552,Optical Spectroscopy,4 Hours,"Theoretical and experimental fundamentals of optical spectroscopy. Light-matter interaction (absorption of UV, visible, IR), emission spectroscopy (fluorescence, Raman and light scattering), theoretical backgrounds of molecular electronic and vibrational transitions, modern experimental techniques, and data analysis of the optical spectroscopy experiments. Laboratory exercises applying spectroscopy to a broad spectrum of disciplines, including biophysical examples. Prerequisite: PHYS 427 and PHYS 487.",Prerequisite: PHYS 427 and PHYS 487.,,,,,,"[PHYS 552 Optical Spectroscopy credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/552>)

Theoretical and experimental fundamentals of optical spectroscopy. Light-matter interaction (absorption of UV, visible, IR), emission spectroscopy (fluorescence, Raman and light scattering), theoretical backgrounds of molecular electronic and vibrational transitions, modern experimental techniques, and data analysis of the optical spectroscopy experiments. Laboratory exercises applying spectroscopy to a broad spectrum of disciplines, including biophysical examples. Prerequisite: [PHYS 427](<https://catalog.illinois.edu/search/?P=PHYS%20427>) and [PHYS 487](<https://catalog.illinois.edu/search/?P=PHYS%20487>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 554,PHYS,554,Nonequilibrium Stat Mechanics,4 Hours,"Mathematical description of classical and quantum stochastic systems, thoroughly addressing the tools and the mode of thinking of non-equilibrium statistical mechanics. Equilibrium statistical mechanics (review); Einstein and Smoluchowski diffusion equation; generalized moment expansion of correlation functions; noise-induced limit cycles; time series analysis; diffusion-controlled reactions; classical dynamics under the influence of stochastic forces; observables connected with Brownian transport, echoes, and hysteresis; spin-boson model. Examples from biological physics and theoretical condensed matter physics. Prerequisite: PHYS 504.",Prerequisite: PHYS 504.,,,,,,"[PHYS 554 Nonequilibrium Stat Mechanics credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/554>)

Mathematical description of classical and quantum stochastic systems, thoroughly addressing the tools and the mode of thinking of non-equilibrium statistical mechanics. Equilibrium statistical mechanics (review); Einstein and Smoluchowski diffusion equation; generalized moment expansion of correlation functions; noise-induced limit cycles; time series analysis; diffusion-controlled reactions; classical dynamics under the influence of stochastic forces; observables connected with Brownian transport, echoes, and hysteresis; spin-boson model. Examples from biological physics and theoretical condensed matter physics. Prerequisite: [PHYS 504](<https://catalog.illinois.edu/search/?P=PHYS%20504>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 560,PHYS,560,Condensed Matter Physics I,4 Hours,"Crystalline perfection, free-electron gas, screening, plasma oscillations, and dielectric response; Bloch electrons, Brillouin zones, and band structure; semiconductors, intrinsic and extrinsic, with applications; phonons, elasticity, and anharmonicity; ferromagnetism and second-order phase transitions; superconductivity. Prerequisite: PHYS 427 and PHYS 580.",Prerequisite: PHYS 427 and PHYS 580.,,,,,,"[PHYS 560 Condensed Matter Physics I credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/560>)

Crystalline perfection, free-electron gas, screening, plasma oscillations, and dielectric response; Bloch electrons, Brillouin zones, and band structure; semiconductors, intrinsic and extrinsic, with applications; phonons, elasticity, and anharmonicity; ferromagnetism and second-order phase transitions; superconductivity. Prerequisite: [PHYS 427](<https://catalog.illinois.edu/search/?P=PHYS%20427>) and [PHYS 580](<https://catalog.illinois.edu/search/?P=PHYS%20580>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 561,PHYS,561,Condensed Matter Physics II,4 Hours,Hartree-Fock theory and electron-electron interactions; electron-phonon interactions; electron dynamics and transport; BCS theory of superconductivity; elastic properties; thermal properties due to anharmonicity; defects in solids. Prerequisite: PHYS 560 and PHYS 581.,Prerequisite: PHYS 560 and PHYS 581.,,,,,,"[PHYS 561 Condensed Matter Physics II credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/561>)

Hartree-Fock theory and electron-electron interactions; electron-phonon interactions; electron dynamics and transport; BCS theory of superconductivity; elastic properties; thermal properties due to anharmonicity; defects in solids. Prerequisite: [PHYS 560](<https://catalog.illinois.edu/search/?P=PHYS%20560>) and [PHYS 581](<https://catalog.illinois.edu/search/?P=PHYS%20581>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 563,PHYS,563,Phase Transitions,4 Hours,"Phenomenology of phase transitions, scaling, critical behavior, and multi-criticality; Landau theory of phase transitions; renormalization group methods, including lattice models and epsilon-expansion; numerical methods; critical dynamics; selected additional topics. Prerequisite: PHYS 504.",Prerequisite: PHYS 504.,,,,,,"[PHYS 563 Phase Transitions credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/563>)

Phenomenology of phase transitions, scaling, critical behavior, and multi-criticality; Landau theory of phase transitions; renormalization group methods, including lattice models and epsilon-expansion; numerical methods; critical dynamics; selected additional topics. Prerequisite: [PHYS 504](<https://catalog.illinois.edu/search/?P=PHYS%20504>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 565,PHYS,565,Theory of Semicond & Devices,4 Hours,Same as ECE 535. See ECE 535.,,,,,,,"[PHYS 565 Theory of Semicond & Devices credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/565>)

Same as [ECE 535](<https://catalog.illinois.edu/search/?P=ECE%20535>). See [ECE 535](<https://catalog.illinois.edu/search/?P=ECE%20535>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
