course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CWL 221,CWL,221,Jewish Storytelling,3 Hours,"Same as ENGL 223, JS 220, REL 220, and YDSH 220. See YDSH 220.",,,,,,
CWL 223,CWL,223,The Qur'an (Koran),3 Hours,"Same as REL 223, SAME 223. See REL 223.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
CWL 224,CWL,224,German Literature in Trans,3 Hours,Same as GER 200. See GER 200.,,,,,,
CWL 225,CWL,225,Constr Afr and Carib Identity,3 Hours,"Same as AFST 209, FR 240, and LAST 240. See FR 240.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
CWL 226,CWL,226,Humanist Persp of Afro-Am Exp,3 Hours,Same as AFRO 224. See AFRO 224.,,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,
CWL 227,CWL,227,Golden Age of Russian Literature,3 Hours,Same as RUSS 220. See RUSS 220.,,,"Advanced Composition
Humanities - Lit & Arts",,,
CWL 230,CWL,230,Popular Cultures of Contemporary East Asia,3 Hours,Same as EALC 230. See EALC 230.,,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
CWL 240,CWL,240,Italy Middle Ages & Renaiss,3 Hours,Same as ITAL 240 and MDVL 240. See ITAL 240.,,,Humanities - Lit & Arts,,,
CWL 241,CWL,241,Early Masterpieces of Western Culture,3 Hours,"[IAI Code: H3906] Comparative study of major works of literature, philosophy and culture in the Western tradition from the ancient world to the Renaissance, from Homer and the Bible to Shakespeare and Cervantes. Emphasis on the works as representative of their historical and cultural period, as well as how these works create the cultural world we live in today. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,,"Advanced Composition
Humanities - Lit & Arts
Cultural Studies - Western",,,3.55
CWL 242,CWL,242,Modern Masterpieces of Western Culture,3 Hours,"[IAI Code: H3907] Comparative study of major works of literature, philosophy and culture in the Western tradition from the Enlightenment to today, from Descartes and Voltaire to Dickinson and Calvino. Emphasis on the works as representative of their historical and cultural period, as well as how these works create the cultural world we live in today.",,,"Advanced Composition
Humanities - Lit & Arts
Cultural Studies - Western",,,3.40
CWL 245,CWL,245,Survey of Polish Literature,3 Hours,Same as POL 245. See POL 245.,,,,,,
CWL 249,CWL,249,Soviet and Post-Soviet Lit,3 Hours,Same as RUSS 225. See RUSS 225.,,,Humanities - Lit & Arts,,,
CWL 250,CWL,250,Grimms' Fairy Tales - ACP,3 Hours,Same as ENGL 267 and GER 250. See GER 250.,,,,,,
CWL 251,CWL,251,Viking Mythology,3 Hours,"Same as MDVL 251, REL 251, and SCAN 251. See SCAN 251.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
CWL 252,CWL,252,Viking Sagas in Translation,3 Hours,Same as MDVL 252 and SCAN 252. See SCAN 252.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 253,CWL,253,Medieval Literature and Culture,3 Hours,Same as ENGL 202 and MDVL 201. See ENGL 202.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
